CoolSetpoint,THallway,TRoom202,TRoom203,TRoom205,TRoom206,TRoom208,TRoom212,TRoom214,TRoom219,TRoom220,TRoom222,TRoom224
23.0,21.8737717221446,21.8565753313238,21.7261084801557,21.682469389405,21.6715772954268,21.5617624671953,21.6378062696016,21.5892035546779,21.5902173593601,21.6336441460194,21.6308258389435,21.6117397159016
23.0,21.8609993109429,21.8441846789298,21.7141621573236,21.6704109790477,21.6598182136938,21.5504261538687,21.6260883863738,21.5777362782029,21.578478684773,21.6215933843136,21.6187996815643,21.5997732815582
23.0,21.8484239752359,21.8320020592567,21.7024512372642,21.6586139823216,21.6483148819873,21.5393823273056,21.6146422811299,21.5665481103224,21.5670358862155,21.6098395714235,21.6070690581966,21.5881094133425
23.0,21.8360071427521,21.8199916809705,21.6909385200323,21.6470397297401,21.6370290005701,21.5285911329207,21.6034289503357,21.5555999272356,21.55584840614,21.5983415399887,21.5955928488748,21.5767068500687
23.0,21.8237382576216,21.8081396870361,21.6796059331807,21.6356670238765,21.6259396629982,21.5180267936168,21.59242548536,21.5448676900035,21.5448906162756,21.5870738462216,21.5843457380951,21.5655394364524
23.0,21.8116107466054,21.7964361776138,21.6684397151836,21.6244792276843,21.6150304814987,21.5076683432895,21.5816136275946,21.5343320645382,21.5341417388021,21.5760159242075,21.5733072841347,21.5545859249806
23.0,21.7996238075129,21.7848767686686,21.6574342383413,21.6134696797804,21.6042949315409,21.4975071792728,21.5709860345172,21.523985162516,21.5235933183101,21.5651595203304,21.5624693329666,21.5438376408816
23.0,21.787769613049,21.7734525107462,21.6465804349882,21.602629000142,21.5937237556651,21.4875333627003,21.560533181889,21.5138173235581,21.5132352948127,21.5544945026675,21.551821814188,21.5332842917915
23.0,21.7760488252156,21.7621609403067,21.6358735815692,21.5919507776794,21.5833106517988,21.4777376144264,21.5502475711729,21.5038203092413,21.5030586844317,21.5440121636295,21.5413561175676,21.5229166723493
23.0,21.7644563138962,21.7509956387858,21.6253050534503,21.5814246673181,21.5730454076799,21.4681069438192,21.5401178630308,21.4939821547821,21.4930506091173,21.5336997153087,21.5310595333293,21.5127215903542
23.0,21.752976992285,21.7399431610289,21.6148604163926,21.5710352556726,21.5629127645559,21.4586248259957,21.5301282713639,21.4842869094873,21.4831942406669,21.5235400308741,21.5209149705541,21.5026818057438
23.0,21.7415922289033,21.7289876253438,21.6045234799932,21.560765812607,21.5528961526057,21.4492742831825,21.5202620365496,21.4747178971288,21.4734721044237,21.5135151564165,21.5109044910117,21.492779404345
23.0,21.7303116298502,21.718134433221,21.5942982847709,21.5506194494365,21.5429986864253,21.4400563438855,21.5105214732245,21.4652768251839,21.4638856425806,21.503626936341,21.5010300226574,21.4830157956907
23.0,21.7191434710798,21.7073883818285,21.5841885726285,21.5405991714717,21.5332233701982,21.4309722949161,21.5009089302069,21.4559655402759,21.4544365026606,21.4938773629163,21.4912936304269,21.473392606115
23.0,21.7080809084741,21.6967433209635,21.5741879947004,21.530698325068,21.5235636121714,21.4220151033824,21.4914176432278,21.446777242195,21.445117482737,21.4842590577505,21.4816879608205,21.4639024083746
23.0,21.6971087776638,21.6861869977163,21.5642844681652,21.5209046968809,21.5140072990746,21.4131728589014,21.4820355646337,21.4377000959873,21.4359161991631,21.4747591591798,21.4722001508914,21.454532465382
23.0,21.6862251891573,21.6757168630456,21.554473964618,21.5112131686735,21.5045493409088,21.4044387377304,21.4727569079179,21.428727937778,21.4268258998006,21.4653709352338,21.4628235113654,21.4452758136689
23.0,21.6754283709352,21.6653305663604,21.544752831372,21.5016191059252,21.4951851342542,21.3958065819224,21.463576444219,21.4198552064942,21.417840474004,21.4560882755351,21.4535519715851,21.4361261369005
23.0,21.6647196465012,21.6550284961499,21.535121631255,21.4921231660635,21.4859153084189,21.387276880271,21.4544947917971,21.4110824689572,21.4089604062301,21.4469116519608,21.4443860275689,21.4270838351431
23.0,21.6540955805364,21.6448076954183,21.5255781640563,21.482723607303,21.4767381090243,21.3788485298838,21.4455104904692,21.4024084575809,21.4001843838593,21.4378395360832,21.4353241543627,21.4181474633254
23.0,21.6435587521821,21.6346694645517,21.5161228749897,21.47342033233,21.4676533866927,21.3705203567142,21.4366229969388,21.3938323731278,21.3915113841257,21.4288709923275,21.4263654473803,21.4093159218128
23.0,21.6331076275558,21.6246121121346,21.5067532038737,21.4642101667394,21.4586579474928,21.3622882437812,21.4278287459477,21.385350471856,21.3829373026786,21.4200018612649,21.4175057688328,21.4005849483748
23.0,21.6227335635407,21.6146288358074,21.4974623035944,21.4550861241267,21.4497448287568,21.3541453448574,21.4191208095191,21.3769559775269,21.374454963321,21.4112245872988,21.4087375588268,21.3919470887162
